X,Y,OBJECTID,SWID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REG_ID,STATUSDATE,OWNER,CLOSE_DATE,PERMIT_NO
-118.191149160999942,34.003690636000037,1011,6721,INNOVATIVE WASTE CONTROL,4133 BANDINI BOULEVARD,VERNON,CA,90058,NOT AVAILABLE,(562) 663-3429,TRANSFER,OPEN,LOS ANGELES,06037,USA,34.00369064,-118.19114916,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CONSOLIDATED DISPOSAL SERVICES L.L.C.,NOT AVAILABLE,19-DE-0001
-118.263350384999967,33.978884821000058,1012,6760,LOS ANGELES EXPRESS MATERIALS REC. FAC.,6625 STANFORD AVENUE,LOS ANGELES,CA,91001,NOT AVAILABLE,(323) 759-9776,TRANSFER,OPEN,LOS ANGELES,06037,USA,33.97888482,-118.26335038,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,"OLGA WILHEIM TRUST; MIGUEL DILELLA",NOT AVAILABLE,19-AR-1234
-122.401497814999971,40.015150078000019,1013,6863,RANCHO TEHAMA RESERVE TRANSFER STATION,SW CORNER OF RANCHO TEHAMA & STAGECOACH,HENLEYVILLE,CA,96021,NOT AVAILABLE,(916) 525-2516,TRANSFER,OPEN,TEHAMA,06103,USA,40.01515008,-122.40149782,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,RANCHO TEHAMA ASSOCIATION,NOT AVAILABLE,52-AA-0025
-121.738888323999959,36.753369757000023,1014,6864,"RANDAZZO ENTERPRISES, INC.",13550 BLACKIE ROAD,CASTROVILLE,CA,95012,NOT AVAILABLE,(831) 633-4420,TRANSFER,OPEN,MONTEREY,06053,USA,36.75336976,-121.73888832,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,"RANDAZZO ENTERPRISES, INC.",NOT AVAILABLE,27-AA-0094
-122.952979593999942,38.49203340400004,1015,6313,KORBEL MAINTENANCE DISPOSAL SITE,1.5 MILES EAST OF GUERNEVILLE OFF H116,GUERNEVILLE,CA,95446,NOT AVAILABLE,(707) 565-7940,NOT AVAILABLE,CLOSED,SONOMA,06097,USA,38.4920334,-122.95297959,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SONOMA COUNTY PUBLIC WORKS DEPT,10/1/2012,49-AA-0247
-117.6585220199999,35.378463404000058,1016,6865,RANDSBURG TRANSFER STATION,GOLER RD 1/4 MILE NORTH OF RANDSBURG RD,RANDSBURG,CA,93528,NOT AVAILABLE,(661) 862-8900,TRANSFER,OPEN,KERN,06029,USA,35.3784634,-117.65852202,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,US DEPT OF INT BLM-KERN,NOT AVAILABLE,15-AA-0049
-120.371641798999988,40.79028787400005,1017,6866,RAVENDALE TRANSFER STATION,3/4 MI S/O RAVENDALE,RAVENDALE,CA,96130,NOT AVAILABLE,(530) 252-1273,TRANSFER,OPEN,LASSEN,06035,USA,40.79028787,-120.3716418,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,COUNTY OF LASSEN PUBLIC WORKS DEPT,NOT AVAILABLE,18-AA-0023
-117.878260000999944,34.138091879000051,1018,6867,RD 518,161 NORTH VALENCIA STREET,GLENDORA,CA,91741,1460,(626) 458-3981,TRANSFER,OPEN,LOS ANGELES,06037,USA,34.13809188,-117.87826,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,COUNTY OF LOS ANGELES PW,NOT AVAILABLE,19-AA-0394
-122.282352121999963,37.82032440700003,1019,6868,RECOLOGY EAST BAY ORGANICS,2020 WAKE AVE.,OAKLAND,CA,94607,NOT AVAILABLE,(510) 267-0852,TRANSFER,OPEN,ALAMEDA,06001,USA,37.82331182,-122.29908211,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,UNVERIFIED,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,EBMUD,NOT AVAILABLE,01-AA-0309
-108.67794417499999,44.739114948000065,1020,562843,PARK COUNTY SWDD - POWELL LANDFILL,1005 RD 5,POWELL,WY,82435,NOT AVAILABLE,(307) 754-9418,"MUNICIPAL, C&D",OPEN,PARK,56029,USA,44.73911495,-108.67794417,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://www.parkcounty.us/solidwaste/powell_landfill.html,2018-03-13T00:00:00.000Z,IMAGERY,2018-03-13T00:00:00.000Z,http://www.parkcounty.us/solidwaste/powell_landfill.html,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-121.477497506999953,36.995788826000073,1021,6869,RECOLOGY PACHECO PASS WOOD PROCESSING,3675 PACHECO PASS HIGHWAY,GILROY,CA,95020,NOT AVAILABLE,(408) 847-4142,TRANSFER,OPEN,SANTA CLARA,06085,USA,36.99578883,-121.47749751,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,RECOLOGY PACHECO PASS,NOT AVAILABLE,43-AA-0035
-108.851802118999956,44.147696293000074,1022,562842,PARK COUNTY SWDD - MEETEETSE LANDFILL,"HWY 120, S OF MEETEETSE",MEETEETSE,WY,82433,NOT AVAILABLE,NOT AVAILABLE,"MUNICIPAL, C&D",CLOSED,PARK,56029,USA,44.14769629,-108.85180212,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://www.parkcounty.us/solidwaste/solidwaste.html,2018-03-13T00:00:00.000Z,IMAGERY,2018-03-13T00:00:00.000Z,http://www.parkcounty.us/solidwaste/solidwaste.html,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,6/30/2010,NOT AVAILABLE
-121.611434510999956,37.095259697000074,1023,6870,RECOLOGY SAN MARTIN TRANSFER STATION,14070 LLAGAS AVENUE,SAN MARTIN,CA,95046,NOT AVAILABLE,(408) 842-3358,TRANSFER,OPEN,SANTA CLARA,06085,USA,37.0952597,-121.61143451,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,RECOLOGY PROPERTIES INC.,NOT AVAILABLE,43-AA-0003
-108.07562782299999,44.429910905000042,1024,562812,BIG HORN COUNTY SOLID WASTE DISTRICT SOUTH,2570 LANE 39,BASIN,WY,82410,NOT AVAILABLE,(307) 568-2625,"MUNICIPAL, C&D",OPEN,BIG HORN,56003,USA,44.4299109,-108.07562782,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://plus.google.com/107544137298004651176/about?hl=en,2018-03-13T00:00:00.000Z,IMAGERY,2018-03-13T00:00:00.000Z,https://plus.google.com/107544137298004651176/about?hl=en,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-119.839873650999962,36.749689920000037,1025,6873,RECONSERVE OF CALIFORNIA,2301 WEST BELMONT,FRESNO,CA,90403,NOT AVAILABLE,(310) 458-1574,TRANSFER,OPEN,FRESNO,06019,USA,36.74968992,-119.83987365,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SHUBIN INVESTMENTS,NOT AVAILABLE,10-AA-0226
-122.371976940999943,37.740558271000047,1026,6874,RECYCLE CENTRAL AT PIER 96,PIER 96,SAN FRANCISCO,CA,94111,NOT AVAILABLE,NOT AVAILABLE,TRANSFER,OPEN,SAN FRANCISCO,06075,USA,37.74055827,-122.37197694,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SAN FRANCISCO PORT AUTHORITY,NOT AVAILABLE,38-AA-0012
-119.601831155999946,36.317243722000057,1027,6875,RECYCLE DEPOT C&D WOOD DEBRIS,10716 8TH AVENUE,HANFORD,CA,93230,NOT AVAILABLE,(559) 651-2642,TRANSFER,OPEN,KINGS,06031,USA,36.31724372,-119.60183116,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,JEFF PRINS,NOT AVAILABLE,16-AA-0029
-106.582893118999948,43.706165766000019,1028,562830,KAYCEE LANDFILL,"HWY 1002, 2 MI E. OF KAYCEE",KAYCEE,WY,82639,NOT AVAILABLE,NOT AVAILABLE,"MUNICIPAL, C&D",NOT AVAILABLE,JOHNSON,56019,USA,43.70616577,-106.58289312,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",NOT AVAILABLE,2018-03-13T00:00:00.000Z,IMAGERY,2018-03-13T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-117.72903127,34.04517570400003,1029,6876,RECYCLED WOOD PRODUCTS,1313 EAST PHILLIPS BLVD.,POMONA,CA,91766,NOT AVAILABLE,(909) 868-6882,TRANSFER,OPEN,LOS ANGELES,06037,USA,34.0451757,-117.72903127,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,"KIRALLA, CHRIS",NOT AVAILABLE,19-AA-1076
-121.858471353999974,38.019047737000058,1030,6877,RECYCLING CENTER & TRANSFER STATION,1300 LOVERIDGE ROAD,PITTSBURG,CA,94565,NOT AVAILABLE,(510) 682-9113,TRANSFER,OPEN,CONTRA COSTA,06013,USA,38.01904774,-121.85847135,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,"CONTRA COSTA WASTE SERVICES, INC.",NOT AVAILABLE,07-AC-0043
-120.492054860999986,38.073654445000045,1031,6878,RED HILL TRANSFER STATION,5314 RED HILL ROAD,VALLECITO,CA,95222,NOT AVAILABLE,(209) 754-6402,TRANSFER,OPEN,CALAVERAS,06009,USA,38.07365444,-120.49205486,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,COUNTY OF CALAVERAS,NOT AVAILABLE,05-AA-0025
-118.375223196999968,33.856316574000054,1032,6879,REDONDO BEACH TRANSFER STATION,1513 BERYL STREET,REDONDO BEACH,CA,90277,NOT AVAILABLE,(310) 318-0613,TRANSFER,OPEN,LOS ANGELES,06037,USA,33.85631657,-118.3752232,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CITY OF REDONDO BEACH,NOT AVAILABLE,19-AA-0389
-123.818073224,40.141674850000072,1033,6880,REDWAY TRANSFER STATION,"EEL R. CONS. CAMP, 1/4 MI E REDWOOD DR.",REDWAY,CA,95540,NOT AVAILABLE,(707) 445-7491,TRANSFER,OPEN,HUMBOLDT,06023,USA,40.14167485,-123.81807322,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,COUNTY OF HUMBOLDT DEPT OF PUBLIC WORKS,NOT AVAILABLE,12-AA-0015
-123.188621134999948,39.26101711900003,1034,6881,REDWOOD VALLEY CONTAINER SITE,"STOVER RD;8 MI. N OF HWY 299",REDWOOD VALLEY,CA,95501,NOT AVAILABLE,(707) 445-7491,TRANSFER,OPEN,HUMBOLDT,06023,USA,39.26400453,-123.20535113,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,UNVERIFIED,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,COUNTY OF HUMBOLDT,NOT AVAILABLE,12-AA-0016
-118.501452120999957,34.425423254000066,1035,6882,RENT-A-BIN (SMALL VOL. CDI OPERATION),20745 SANTA CLARA STREET,CANYON COUNTRY,CA,91351,NOT AVAILABLE,(818) 709-5296,TRANSFER,OPEN,LOS ANGELES,06037,USA,34.42542325,-118.50145212,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,"RANDALL, HOWARD",NOT AVAILABLE,19-AA-1097
-118.582255461999978,34.245537226000067,1036,6883,RENT-A-BIN,9643 COZYCROFT AVENUE,CHATSWORTH,CA,91311,NOT AVAILABLE,(818) 709-5599,TRANSFER,OPEN,LOS ANGELES,06037,USA,34.24553723,-118.58225546,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,"RANDALL, HOWARD AND MARY",NOT AVAILABLE,19-AR-0011
-103.575763825999957,48.16507663000003,1037,381700,WILLISTON MUNICIPAL LANDFILL,5176 134TH AVE NW,WILLISTON,ND,58801,NOT AVAILABLE,(701) 577-6368,"MUNICIPAL, C&D",OPEN,WILLIAMS,38105,USA,48.16507663,-103.57576383,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www.ndhealth.gov/wm/Publications/MunicipalSolidWasteFacilities.pdf,2017-01-26T00:00:00.000Z,IMAGERY,2018-01-09T00:00:00.000Z,http://cityofwilliston.com/DepartmentContent.aspx?DeptID=PW&PageID=14,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-103.840683622999961,48.038420889000058,1038,381664,INDIAN HILLS DISPOSAL INC,14070 43RD STREET NW,WILLISTON,ND,58801,NOT AVAILABLE,NOT AVAILABLE,C&D,OPEN,WILLIAMS,38105,USA,48.03842089,-103.84068362,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www.ndhealth.gov/wm/Publications/InertWasteFacilities.pdf,2017-01-26T00:00:00.000Z,IMAGERY,2018-01-09T00:00:00.000Z,http://www.ihdenv.com/,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-97.15411965,47.92947448000006,1039,381696,VERN'S REFUSE SERVICE,965 83RD ST N,GRAND FORKS,ND,58206,NOT AVAILABLE,NOT AVAILABLE,C&D,OPEN,GRAND FORKS,38035,USA,47.92947448,-97.15411965,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www.ndhealth.gov/wm/Publications/InertWasteFacilities.pdf,2017-01-26T00:00:00.000Z,IMAGERY,2018-01-09T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-118.537858764999939,34.178903374000065,1040,6884,RESEDA/WOODLAMD HILLS ST. MAINT. D.YARD,6015 BAIRD AVENUE,RESEDA,CA,91335,NOT AVAILABLE,(213) 485-6454,TRANSFER,OPEN,LOS ANGELES,06037,USA,34.17890337,-118.53785877,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,"CITY OF LOS ANGELES, BUREAU OF ST. SERV.",NOT AVAILABLE,19-AR-1215
-72.436768395999934,43.115498544000047,1041,502734,ROCKINGHAM/WESTMINSTER TRANSFER STATION,ROUTE 5,WESTMINSTER,VT,05158,NOT AVAILABLE,(802) 463-3964,TRANSFER,OPEN,WINDHAM,50025,USA,43.11549854,-72.4367684,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://anrweb.vt.gov/DEC/ERT/DataDump.aspx,2018-03-14T00:00:00.000Z,IMAGERY/OTHER,2018-03-14T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,WH100
-119.778435185999953,36.889100097000039,1042,6885,RICE ROAD RECYCLERY & TRANSFER STATION,10463 NORTH RICE ROAD,FRESNO,CA,93730,NOT AVAILABLE,NOT AVAILABLE,TRANSFER,OPEN,FRESNO,06019,USA,36.8891001,-119.77843519,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,ALLIED WASTE TRANSFER SERVICES OF CAL.,NOT AVAILABLE,10-AA-0145
-96.870894544999942,46.882349077000065,1043,381684,NORTHERN IMPROVEMENT CO,4716 7TH AVE N,FARGO,ND,58102,NOT AVAILABLE,(701) 277-1225,C&D,OPEN,CASS,38017,USA,46.88234908,-96.87089455,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www.ndhealth.gov/wm/Publications/InertWasteFacilities.pdf,2017-01-26T00:00:00.000Z,IMAGERY,2018-01-09T00:00:00.000Z,http://www.northernimprovement.com/,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
